property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,72,74,77,82,83
soc,231,134,120,71,69
clay,245,276,315,340,354
sand,643,614,584,557,543
silt,112,111,101,103,103
bdod,115,124,133,142,143
cec,189,183,182,183,191
