depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,25.69,16.28,9.41,4.7
5-15cm,26.92,17.46,9.46,9.46
15-30cm,27.24,17.81,9.43,14.15
30-60cm,30.79,20.76,10.03,30.08
60-100cm,30.54,20.52,10.02,40.07
