depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,18.74,11.37,7.37,3.68
5-15cm,20.23,12.44,7.79,7.79
15-30cm,21.67,13.86,7.81,11.72
30-60cm,24.36,15.96,8.39,25.18
60-100cm,23.53,15.15,8.38,33.5
