depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,27.36,17.34,10.03,5.01
5-15cm,27.71,17.92,9.8,9.8
15-30cm,30.15,19.99,10.16,15.24
30-60cm,31.3,20.96,10.33,31.0
60-100cm,32.28,21.75,10.53,42.13
