depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.0,24.87,14.13,7.07
5-15cm,38.56,24.53,14.03,14.03
15-30cm,39.3,25.89,13.41,20.11
30-60cm,38.88,25.39,13.49,40.48
60-100cm,37.32,23.7,13.62,54.49
