depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.42,24.26,15.16,7.58
5-15cm,37.81,23.08,14.73,14.73
15-30cm,37.45,23.18,14.27,21.4
30-60cm,37.12,23.23,13.89,41.67
60-100cm,36.95,23.05,13.9,55.59
