property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,58.55555555555555,56.55555555555555,55.70370370370371,55.70370370370371,55.70370370370371
soc,408.0,379.0,208.0,102.0,56.0
clay,415.1481481481482,423.29629629629625,459.25925925925924,474.81481481481484,487.25925925925924
sand,201.25925925925927,197.8148148148148,188.44444444444446,189.8148148148148,183.22222222222223
silt,382.7407407407407,378.88888888888886,352.2962962962963,334.51851851851853,329.5185185185185
bdod,133.0,137.0,136.0,135.0,136.0
cec,211.59259259259264,206.55555555555557,187.7037037037037,161.55555555555557,157.25925925925927
