property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,61.0,61.49999999999999,61.99999999999999,63.5,65.00000000000001
soc,223.5606060606061,196.01515151515153,131.37878787878788,113.39393939393942,82.87878787878789
clay,209.50000000000003,218.5,277.0,377.5,395.0
sand,566.9999999999999,560.4999999999999,515.0,437.0,419.00000000000006
silt,223.5,221.0,208.0,185.5,185.99999999999997
bdod,131.03030303030306,134.5454545454546,137.03030303030306,140.53030303030306,139.53030303030306
cec,212.49999999999997,181.5,174.5,167.0,162.99999999999997
