depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.68,25.45,14.23,7.12
5-15cm,39.6,25.63,13.96,13.96
15-30cm,39.45,26.13,13.32,19.98
30-60cm,40.15,27.03,13.11,39.34
60-100cm,40.33,27.32,13.01,52.05
