depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,29.48,17.42,12.06,6.03
5-15cm,28.33,16.59,11.74,11.74
15-30cm,30.71,18.66,12.04,18.07
30-60cm,31.45,19.78,11.67,35.01
60-100cm,31.15,19.62,11.53,46.13
