property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,54.4,54.0,54.0,54.4,55.0
soc,568.1375,438.875,292.13750000000005,230.52500000000003,237.725
clay,348.8,357.2,411.2,448.40000000000003,427.3999999999999
sand,328.40000000000003,325.8,292.2,271.2,282.2
silt,322.59999999999997,316.6,296.6,280.4,290.40000000000003
bdod,111.37499999999999,113.39999999999998,118.08749999999998,120.83749999999999,124.52499999999999
cec,205.2,183.99999999999997,178.20000000000002,169.0,169.2
