depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,27.24,16.48,10.76,5.38
5-15cm,26.8,16.02,10.78,10.78
15-30cm,25.71,15.31,10.4,15.61
30-60cm,25.21,15.12,10.09,30.27
60-100cm,23.25,13.79,9.46,37.83
