depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.84,23.41,15.43,7.71
5-15cm,38.72,23.33,15.39,15.39
15-30cm,38.63,24.36,14.27,21.41
30-60cm,38.98,25.23,13.75,41.24
60-100cm,37.57,23.53,14.04,56.17
