property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,56.0,56.0,56.0,57.0,57.0
soc,526.4814814814815,422.74074074074076,232.37037037037038,128.40740740740742,113.0
clay,309.0,311.0,359.0,379.0,385.0
sand,308.0,310.0,279.0,266.0,262.0
silt,382.0,379.0,363.0,355.0,353.0
bdod,107.48148148148148,108.4814814814815,111.0,110.48148148148148,115.96296296296298
cec,205.0,197.0,182.0,166.0,145.0
