depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,26.85,15.01,11.83,5.92
5-15cm,27.9,15.95,11.95,11.95
15-30cm,32.43,20.44,11.99,17.99
30-60cm,37.7,25.47,12.23,36.68
60-100cm,38.11,25.89,12.21,48.86
