depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.12,23.78,15.34,7.67
5-15cm,37.12,22.64,14.47,14.47
15-30cm,37.07,22.92,14.15,21.23
30-60cm,38.71,25.35,13.37,40.1
60-100cm,38.14,24.65,13.5,53.99
