depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.37,24.74,14.63,7.31
5-15cm,38.55,23.93,14.62,14.62
15-30cm,39.1,25.27,13.83,20.75
30-60cm,39.17,25.47,13.7,41.1
60-100cm,37.59,23.74,13.84,55.38
