depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,40.6,28.67,11.94,5.97
5-15cm,40.79,28.78,12.01,12.01
15-30cm,40.86,28.68,12.18,18.27
30-60cm,41.75,29.37,12.37,37.12
60-100cm,41.21,28.66,12.55,50.21
