depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.66,24.04,14.62,7.31
5-15cm,38.87,24.45,14.42,14.42
15-30cm,38.37,24.46,13.92,20.88
30-60cm,41.24,28.42,12.82,38.46
60-100cm,41.25,28.51,12.74,50.98
