depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.45,22.74,15.71,7.86
5-15cm,37.15,22.21,14.94,14.94
15-30cm,37.45,23.21,14.24,21.36
30-60cm,38.01,24.28,13.73,41.2
60-100cm,37.6,23.82,13.78,55.12
