depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,24.26,13.74,10.52,5.26
5-15cm,25.21,14.6,10.62,10.62
15-30cm,28.57,17.75,10.82,16.22
30-60cm,37.85,26.02,11.83,35.5
60-100cm,40.51,28.49,12.02,48.08
