depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,24.61,13.46,11.15,5.57
5-15cm,24.63,13.7,10.92,10.92
15-30cm,27.47,16.41,11.06,16.59
30-60cm,33.86,22.13,11.73,35.18
60-100cm,32.93,21.52,11.42,45.67
