depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,27.04,15.82,11.22,5.61
5-15cm,24.42,14.05,10.36,10.36
15-30cm,25.32,15.03,10.28,15.43
30-60cm,23.87,14.04,9.83,29.49
60-100cm,23.39,13.86,9.53,38.11
