property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,50.93975903614458,50.93975903614458,50.93975903614458,50.93975903614458,51.93975903614458
soc,701.1190476190477,401.51190476190476,328.20238095238096,154.60714285714286,121.14285714285714
clay,215.79518072289153,260.83132530120486,285.77108433734946,275.77108433734946,273.4096385542169
sand,591.855421686747,554.6626506024097,531.5542168674699,555.4096385542169,565.7831325301206
silt,192.34939759036146,184.50602409638557,182.67469879518075,168.7349397590362,160.67469879518075
bdod,102.91666666666666,105.39285714285715,112.41666666666667,117.8452380952381,120.82142857142857
cec,311.9036144578314,301.3614457831325,299.5301204819278,289.38554216867476,285.38554216867476
