crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
sugarcane,2016-12-16,2016-12-31,2016-12_Q2,133.48,1.284,1.615,1.107,0.996,144.62,50.0,1.0,0.0,0.0,0.0,17.3447,82.1,8.2327,82.1,9.9787,13.774,MEDIUM
sugarcane,2017-01-01,2017-01-15,2017-01_Q1,133.48,0.725,1.428,0.989,0.929,131.73,31.72,1.0,0.0,23.0804,35.67,17.0181,82.1,12.25,123.54,0.0,13.8499,MEDIUM
sugarcane,2017-01-16,2017-01-31,2017-01_Q2,133.48,1.146,1.504,1.202,1.084,108.5,0.55,1.0,0.0,54.3417,82.1,16.7174,82.1,19.107,194.72,0.0,13.914,NOT_SUITABLE
sugarcane,2017-02-01,2017-02-15,2017-02_Q1,133.48,1.239,1.2,1.385,1.018,87.17,0.0,0.7692,23.08,29.4522,46.43,9.211,46.43,21.1344,218.02,0.0,13.9724,MEDIUM
sugarcane,2017-02-16,2017-02-28,2017-02_Q2,133.48,-0.25,0.969,1.394,0.969,68.43,0.0,0.4566,54.34,0.0,0.0,0.0,0.0,16.4398,171.59,7.4657,12.5383,MEDIUM
sugarcane,2017-03-01,2017-03-15,2017-03_Q1,133.48,1.496,1.387,1.468,1.173,136.88,25.67,0.7055,29.45,0.0,0.0,0.0,0.0,17.8339,186.65,17.4604,14.3585,MEDIUM
sugarcane,2017-03-16,2017-03-31,2017-03_Q2,133.48,1.391,1.622,1.665,1.23,191.73,27.41,1.0,0.0,0.0,0.0,0.0,0.0,17.7974,186.65,17.513,13.6245,MEDIUM
sugarcane,2017-04-01,2017-04-15,2017-04_Q1,133.48,-0.421,0.63,1.593,1.033,152.62,8.05,1.0,0.0,0.0,0.0,7.8774,41.44,17.8568,186.65,17.3447,8.4827,MEDIUM
sugarcane,2017-04-16,2017-04-30,2017-04_Q2,133.48,-0.364,0.243,1.361,0.974,163.14,14.84,1.0,0.0,0.0,0.0,21.3299,112.62,17.9197,186.65,17.0181,8.4434,MEDIUM
sugarcane,2017-05-01,2017-05-15,2017-05_Q1,133.48,1.758,1.4,1.448,1.375,269.02,100.89,1.0,0.0,0.0,0.0,32.5269,171.59,18.0916,186.65,16.7174,8.4042,HIGH
sugarcane,2017-05-16,2017-05-31,2017-05_Q2,133.48,1.394,0.921,1.19,1.227,214.45,52.49,1.0,0.0,0.0,0.0,32.5642,171.59,18.2705,186.65,9.211,8.3616,HIGH
sugarcane,2017-06-01,2017-06-15,2017-06_Q1,133.48,-1.316,0.194,0.887,1.33,103.92,30.6,1.0,0.0,23.5886,41.44,35.4876,186.65,19.8122,201.8,0.0,8.3179,HIGH
sugarcane,2017-06-16,2017-06-30,2017-06_Q2,133.48,0.297,0.265,0.89,1.168,146.98,28.07,1.0,0.0,62.6402,112.62,35.5643,186.65,20.3739,206.89,0.0,8.2979,NOT_SUITABLE
sugarcane,2017-07-01,2017-07-15,2017-07_Q1,133.48,0.112,0.474,0.816,1.198,103.64,0.0,0.7641,23.59,73.2626,130.15,27.9689,145.2,16.4773,165.45,0.0,8.2327,NOT_SUITABLE
sugarcane,2017-07-16,2017-07-31,2017-07_Q2,133.48,-1.915,0.018,0.43,1.081,39.1,0.0,0.3736,62.64,33.5554,58.98,14.414,74.03,13.1039,130.13,7.8774,12.25,HIGH
sugarcane,2017-08-01,2017-08-15,2017-08_Q1,133.48,-0.985,-0.966,0.297,1.097,47.5,0.0,0.2674,73.26,8.7197,15.05,2.9856,15.05,11.725,114.91,21.3299,19.107,LOW
sugarcane,2017-08-16,2017-08-31,2017-08_Q2,133.48,0.91,0.155,0.681,1.387,135.59,18.81,0.6644,33.56,8.8919,15.05,3.0429,15.05,15.4775,149.68,32.5269,21.1344,MEDIUM
sugarcane,2017-09-01,2017-09-15,2017-09_Q1,133.48,1.221,0.053,0.339,1.278,157.56,0.0,0.9128,8.72,0.0,0.0,3.0765,15.16,22.3743,216.85,32.5642,16.4398,MEDIUM
sugarcane,2017-09-16,2017-09-30,2017-09_Q2,133.48,1.339,0.574,0.457,1.367,149.95,14.54,0.9111,8.89,0.0,0.0,4.1266,20.25,22.3265,216.85,35.4876,17.8339,MEDIUM
sugarcane,2017-10-01,2017-10-15,2017-10_Q1,133.48,0.773,0.914,0.741,1.241,180.17,11.27,1.0,0.0,0.0,0.0,4.1752,20.25,22.429,216.85,35.5643,17.7974,MEDIUM
sugarcane,2017-10-16,2017-10-31,2017-10_Q2,133.48,0.274,1.335,0.781,1.11,190.08,36.07,1.0,0.0,0.0,0.0,11.7007,56.1,22.5224,216.85,27.9689,17.8568,MEDIUM
sugarcane,2017-11-01,2017-11-15,2017-11_Q1,133.48,1.0,1.502,0.447,1.011,223.64,72.3,1.0,0.0,9.4069,15.16,20.982,99.86,22.3887,216.85,14.414,17.9197,MEDIUM
sugarcane,2017-11-16,2017-11-30,2017-11_Q2,133.48,0.826,0.948,0.671,1.007,159.91,39.17,1.0,0.0,12.2484,20.25,28.4957,134.63,22.2529,216.85,2.9856,18.0916,MEDIUM
sugarcane,2017-12-01,2017-12-15,2017-12_Q1,133.48,-0.648,0.817,0.69,0.871,73.66,0.0,0.9059,9.41,3.1581,5.09,42.3214,201.7,20.6599,201.7,3.0429,18.2705,HIGH
sugarcane,2017-12-16,2017-12-31,2017-12_Q2,133.48,0.395,0.852,0.699,0.825,105.89,0.0,0.8775,12.25,22.786,35.85,40.9068,196.61,20.988,205.31,3.0765,19.8122,HIGH
sugarcane,2018-01-01,2018-01-15,2018-01_Q1,133.48,1.593,1.081,1.041,0.93,169.01,12.87,0.9684,3.16,51.8378,79.61,40.7992,196.61,27.9194,275.75,4.1266,20.3739,NOT_SUITABLE
sugarcane,2018-01-16,2018-01-31,2018-01_Q2,133.48,1.432,1.151,1.288,0.833,121.49,0.0,0.7721,22.79,52.4227,78.53,33.2564,160.76,27.8859,278.07,4.1752,16.4773,NOT_SUITABLE
sugarcane,2018-02-01,2018-02-15,2018-02_Q1,133.48,-0.111,0.726,1.393,0.896,61.1,0.0,0.4816,51.84,72.3197,117.0,23.7476,117.0,26.4671,267.91,11.7007,13.1039,NOT_SUITABLE
sugarcane,2018-02-16,2018-02-28,2018-02_Q2,133.48,-0.143,0.678,1.097,0.918,71.27,0.0,0.4758,52.42,47.3981,82.23,16.3782,82.23,29.7263,305.33,20.982,11.725,HIGH
sugarcane,2018-03-01,2018-03-15,2018-03_Q1,133.48,-1.37,0.019,0.589,0.428,44.78,0.0,0.2768,72.32,0.0,0.0,0.0,0.0,21.7637,223.11,28.4957,15.4775,MEDIUM
sugarcane,2018-03-16,2018-03-31,2018-03_Q2,133.48,-0.638,-0.032,0.402,0.405,100.79,9.54,0.526,47.4,0.0,0.0,1.7487,8.7,25.7293,263.3,42.3214,22.3743,MEDIUM
sugarcane,2018-04-01,2018-04-15,2018-04_Q1,133.48,0.268,-0.635,0.309,0.484,181.74,15.2,1.0,0.0,0.0,0.0,15.6483,79.15,25.6133,263.3,40.9068,22.3265,MEDIUM
sugarcane,2018-04-16,2018-04-30,2018-04_Q2,133.48,-0.374,-0.731,0.171,0.41,156.27,5.7,1.0,0.0,0.0,0.0,22.8332,117.31,26.5387,273.97,40.7992,22.429,MEDIUM
sugarcane,2018-05-01,2018-05-15,2018-05_Q1,133.48,0.008,-0.551,0.02,0.113,165.55,16.4,1.0,0.0,0.0,0.0,29.0457,150.91,26.6938,274.47,33.2564,22.5224,MEDIUM
sugarcane,2018-05-16,2018-05-31,2018-05_Q2,133.48,1.197,-0.329,0.243,0.413,205.18,42.42,1.0,0.0,5.148,8.7,42.4882,223.11,26.8064,274.47,23.7476,22.3887,HIGH
