depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.28,24.25,15.03,7.52
5-15cm,38.12,23.52,14.6,14.6
15-30cm,37.28,23.16,14.11,21.17
30-60cm,39.47,26.17,13.29,39.88
60-100cm,39.38,26.05,13.33,53.31
