depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,32.5,18.79,13.71,6.86
5-15cm,31.57,18.27,13.29,13.29
15-30cm,31.53,18.42,13.11,19.67
30-60cm,37.05,24.26,12.79,38.38
60-100cm,36.54,23.79,12.75,50.99
