depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.17,23.57,14.61,7.3
5-15cm,37.53,23.29,14.24,14.24
15-30cm,37.4,23.54,13.86,20.79
30-60cm,38.26,24.81,13.46,40.37
60-100cm,37.87,24.29,13.58,54.32
