depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.84,24.06,14.78,7.39
5-15cm,37.81,23.45,14.36,14.36
15-30cm,36.79,22.56,14.23,21.34
30-60cm,37.92,24.46,13.45,40.36
60-100cm,36.31,22.58,13.73,54.92
