depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,23.81,12.73,11.08,5.54
5-15cm,23.92,12.8,11.12,11.12
15-30cm,25.81,14.74,11.07,16.61
30-60cm,31.08,19.35,11.73,35.19
60-100cm,33.69,21.88,11.8,47.22
