depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,33.52,21.3,12.22,6.11
5-15cm,32.42,20.32,12.1,12.1
15-30cm,31.86,19.92,11.94,17.91
30-60cm,31.81,19.93,11.87,35.62
60-100cm,30.97,19.22,11.75,47.01
