depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.95,22.79,15.16,7.58
5-15cm,36.79,21.79,15.0,15.0
15-30cm,37.94,23.79,14.16,21.23
30-60cm,36.68,22.59,14.09,42.28
60-100cm,36.13,22.21,13.92,55.7
