property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,53.602409638554214,52.60240963855423,52.60240963855423,53.602409638554214,54.20481927710843
soc,339.43373493975906,211.4698795180723,137.42168674698797,123.03614457831327,68.6987951807229
clay,207.7951807228916,209.39759036144576,248.80722891566265,435.83132530120486,464.2289156626506
sand,456.5783132530121,452.9759036144578,417.16867469879514,301.96385542168673,279.566265060241
silt,335.6265060240964,338.0240963855422,334.0240963855422,262.8072289156627,256.8072289156627
bdod,119.710843373494,125.69879518072291,130.0963855421687,135.10843373493978,136.10843373493975
cec,154.2048192771084,97.59036144578313,84.59036144578313,83.98795180722891,90.3855421686747
