depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.46,23.64,15.81,7.91
5-15cm,38.62,23.31,15.31,15.31
15-30cm,38.24,23.78,14.45,21.68
30-60cm,38.41,24.32,14.09,42.26
60-100cm,38.16,24.19,13.97,55.87
