crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
sugarcane,2016-12-16,2016-12-31,2016-12_Q2,121.86,-0.455,-0.651,-0.625,-0.26,85.78,0.0,0.4018,59.82,83.0015,237.06,70.2165,534.51,55.4308,597.92,59.632,69.392,NOT_SUITABLE
sugarcane,2017-01-01,2017-01-15,2017-01_Q1,121.86,-0.906,-0.72,-0.676,-0.158,69.57,0.0,0.2543,74.57,92.1493,247.31,61.7963,423.41,53.423,520.25,62.8096,71.1377,NOT_SUITABLE
sugarcane,2017-01-16,2017-01-31,2017-01_Q2,121.86,-1.068,-0.621,-0.826,-0.821,48.55,0.0,0.17,83.0,93.2123,234.41,48.6928,297.44,48.3905,421.11,64.1407,70.7603,NOT_SUITABLE
sugarcane,2017-02-01,2017-02-15,2017-02_Q1,121.86,-1.421,-1.32,-1.011,-1.089,21.07,0.0,0.0785,92.15,74.1471,176.1,39.4068,212.02,42.0282,332.04,66.3463,73.4041,NOT_SUITABLE
sugarcane,2017-02-16,2017-02-28,2017-02_Q2,121.86,-1.404,-1.422,-1.194,-1.015,17.07,0.0,0.0679,93.21,28.1216,63.03,21.2132,98.95,36.2044,257.29,79.4536,75.0371,HIGH
sugarcane,2017-03-01,2017-03-15,2017-03_Q1,121.86,-0.947,-1.346,-1.148,-1.092,61.4,0.0,0.2585,74.15,0.0,0.0,9.1685,35.92,39.5455,264.38,79.8294,75.638,HIGH
sugarcane,2017-03-16,2017-03-31,2017-03_Q2,121.86,1.864,0.062,-0.39,-0.315,311.49,121.86,0.7188,28.12,0.0,0.0,19.9766,63.42,51.8526,324.85,80.4953,72.3424,NOT_SUITABLE
sugarcane,2017-04-01,2017-04-15,2017-04_Q1,121.86,1.719,0.111,-0.521,-0.411,275.71,67.89,1.0,0.0,29.6291,35.92,33.5477,96.84,50.4938,324.85,70.2165,67.12,NOT_SUITABLE
sugarcane,2017-04-16,2017-04-30,2017-04_Q2,121.86,-0.354,0.951,-0.24,-0.335,30.86,17.48,1.0,0.0,33.5442,35.92,47.6785,123.66,49.256,324.85,61.7963,62.8976,HIGH
sugarcane,2017-05-01,2017-05-15,2017-05_Q1,121.86,-0.359,1.146,-0.653,-0.338,17.43,0.0,0.7037,29.63,0.0,0.0,47.6249,120.02,41.9484,288.93,48.6928,57.8993,HIGH
