depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,24.16,13.1,11.05,5.53
5-15cm,25.75,14.44,11.31,11.31
15-30cm,32.44,20.65,11.8,17.7
30-60cm,40.28,28.14,12.14,36.41
60-100cm,41.38,29.2,12.19,48.74
