depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.7,22.41,16.29,8.15
5-15cm,38.52,22.47,16.05,16.05
15-30cm,38.14,23.5,14.64,21.96
30-60cm,38.64,24.8,13.84,41.51
60-100cm,37.87,23.74,14.14,56.54
