property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,73.0,72.0,74.0,74.0,75.0
soc,129.87951807228916,136.51807228915663,94.81927710843374,75.6987951807229,53.87951807228916
clay,332.0,326.0,370.0,363.0,370.0
sand,529.0,536.0,499.0,507.0,503.0
silt,139.0,138.0,132.0,130.0,128.0
bdod,141.06024096385542,144.0,144.12048192771084,147.12048192771084,149.12048192771084
cec,243.0,243.0,254.0,257.0,258.0
