property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,52.509803921568626,53.25490196078431,53.0,53.25490196078431,54.254901960784316
soc,568.9019607843137,387.764705882353,222.7058823529412,161.5686274509804,168.01960784313724
clay,344.4705882352941,351.9411764705882,375.2156862745098,427.68627450980387,418.4313725490196
sand,312.01960784313724,314.235294117647,311.4705882352941,280.96078431372547,276.45098039215685
silt,344.2549019607843,334.5686274509804,313.5686274509804,291.09803921568624,305.1176470588235
bdod,99.25490196078431,102.50980392156862,107.76470588235294,112.50980392156863,117.2549019607843
cec,186.90196078431373,184.80392156862743,168.2941176470588,162.78431372549016,159.03921568627447
