depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.81,24.92,13.89,6.94
5-15cm,38.62,24.78,13.84,13.84
15-30cm,36.83,23.03,13.79,20.69
30-60cm,36.88,23.42,13.46,40.37
60-100cm,35.13,21.78,13.35,53.4
