property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,63.0,65.0,69.02439024390245,77.0,80.0
soc,185.0,120.0,98.0,123.0,222.0
clay,316.30487804878055,289.1463414634147,454.2195121951219,458.4268292682927,456.37804878048786
sand,427.219512195122,446.2926829268293,330.50000000000006,328.32926829268297,334.3292682926829
silt,256.4756097560976,264.56097560975616,215.28048780487808,212.2560975609756,208.30487804878047
bdod,129.0,132.0,133.0,136.0,138.0
cec,127.2560975609756,135.08536585365854,135.12195121951223,141.14634146341464,145.23170731707316
