depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,55.0,40.0,15.0,7.5
5-15cm,55.0,40.0,15.0,15.0
15-30cm,55.0,40.0,15.0,22.5
30-60cm,55.0,40.0,15.0,45.0
60-100cm,55.0,40.0,15.0,60.0
