depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.81,30.35,8.46,4.23
5-15cm,38.62,29.79,8.82,8.82
15-30cm,36.83,25.41,11.41,17.12
30-60cm,36.88,24.72,12.16,36.47
60-100cm,35.13,22.52,12.6,50.41
