property,0-5cm,5-15cm,15-30cm,30-60cm
phh2o,52.509803921568626,53.25490196078431,53.0,53.25490196078431
soc,568.9019607843137,387.764705882353,222.7058823529412,161.5686274509804
clay,344.4705882352941,351.9411764705882,375.2156862745098,427.68627450980387
sand,312.01960784313724,314.235294117647,311.4705882352941,280.96078431372547
silt,344.2549019607843,334.5686274509804,313.5686274509804,291.09803921568624
bdod,99.25490196078431,102.50980392156862,107.76470588235294,112.50980392156863
cec,186.90196078431373,184.80392156862743,168.2941176470588,162.78431372549016
