depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,31.96,20.99,10.98,5.49
5-15cm,31.63,20.71,10.92,10.92
15-30cm,33.99,22.81,11.18,16.77
30-60cm,33.31,22.29,11.02,33.06
60-100cm,33.52,22.51,11.01,44.03
