depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.68,31.76,7.92,3.96
5-15cm,38.89,30.39,8.5,8.5
15-30cm,38.77,29.47,9.29,13.94
30-60cm,39.1,29.73,9.37,28.1
60-100cm,39.67,31.4,8.27,33.08
