property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,57.0,56.5,56.0,57.0,57.0
soc,633.1800000000001,389.29999999999995,279.54,184.04,153.26
clay,352.00000000000006,354.49999999999994,392.50000000000006,444.5,454.0
sand,309.0,303.5,287.5,268.5,257.5
silt,339.0,342.0,320.0,287.0,288.5
bdod,100.32000000000001,103.92,108.89999999999999,111.7,114.8
cec,209.00000000000003,181.50000000000003,173.49999999999997,167.5,166.49999999999997
